name,thumbnail
"Chill Pop","https://mediafile.galaxie.ca/data/000/162/081/000162081352"
"Chill Indie","https://mediafile.galaxie.ca/data/000/162/084/000162084456"
"Chill Electronic","https://mediafile.galaxie.ca/data/000/162/081/000162081622"
"Chill Folk","https://mediafile.galaxie.ca/data/000/162/081/000162081202"
"Chill Jazz","https://mediafile.galaxie.ca/data/000/162/345/000162345860"
"Chill Hip-Hop","https://mediafile.galaxie.ca/data/000/162/082/000162082922"
"Chill Classic Rock","https://mediafile.galaxie.ca/data/000/162/083/000162083504"
"Chill Acoustic","https://mediafile.galaxie.ca/data/000/162/092/000162092128"
"Classical Chill-Out","https://mediafile.galaxie.ca/data/000/162/080/000162080536"
"Classical Calm","https://mediafile.galaxie.ca/data/000/162/084/000162084638"
"For the fans of Amy Winehouse","https://mediafile.galaxie.ca/data/000/113/457/000113457612"
"Kids' Bedtime Instrumentals","https://mediafile.galaxie.ca/data/000/162/084/000162084549"
"Canadian Instrumentals for Reading","https://mediafile.galaxie.ca/data/000/162/082/000162082905"
"Bedtime Instrumentals","https://mediafile.galaxie.ca/data/000/162/082/000162082425"
"Six-String Relaxation","https://mediafile.galaxie.ca/data/000/162/084/000162084867"
"Serene Piano","https://mediafile.galaxie.ca/data/000/162/086/000162086312"
"Canadian Synth Meditations","https://mediafile.galaxie.ca/data/000/162/083/000162083378"
"Pensive Melodies","https://mediafile.galaxie.ca/data/000/162/084/000162084049"
"Sophisticated Electronica","https://mediafile.galaxie.ca/data/000/162/083/000162083271"
"Matin Pyjama","https://mediafile.galaxie.ca/data/000/162/081/000162081860"
"Astral Chillout","https://mediafile.galaxie.ca/data/000/162/084/000162084637"
"Deep House Exploration","https://mediafile.galaxie.ca/data/000/135/257/000135257132"
"Mellow Weekend Electro","https://mediafile.galaxie.ca/data/000/162/083/000162083159"
"5-Star Euro Lounge","https://mediafile.galaxie.ca/data/000/162/084/000162084384"
"Cozy Trip Hop","https://mediafile.galaxie.ca/data/000/162/105/000162105193"
"Trap & Chill","https://mediafile.galaxie.ca/data/000/162/082/000162082526"
"Alice in Indieland","https://mediafile.galaxie.ca/data/000/162/085/000162085021"
"Summer Hip-Hop","https://mediafile.galaxie.ca/data/000/111/238/000111238803"
"Easygoing Indie","https://mediafile.galaxie.ca/data/000/162/081/000162081338"
"Breezy Yacht Rock","https://mediafile.galaxie.ca/data/000/107/938/000107938226"
"Smooth Jazz After Dark","https://mediafile.galaxie.ca/data/000/107/938/000107938241"
"Zen Meditations","https://mediafile.galaxie.ca/data/000/107/938/000107938259"
"Laid Back Indie Brunch","https://mediafile.galaxie.ca/data/000/162/080/000162080439"
"Smooth Operators: '80s Soft Rock Hits","https://mediafile.galaxie.ca/data/000/162/083/000162083591"
"Hip-Hop & Brunch","https://mediafile.galaxie.ca/data/000/162/083/000162083420"
"Indian Chill Lounge","https://mediafile.galaxie.ca/data/000/162/086/000162086116"
"West Coast Jazz for Relaxing","https://mediafile.galaxie.ca/data/000/162/345/000162345818"
"Mellow Hip-Hop Beats","https://mediafile.galaxie.ca/data/000/162/083/000162083854"
"Hazy Indie Nights","https://mediafile.galaxie.ca/data/000/162/090/000162090837"
"Indie Sunset","https://mediafile.galaxie.ca/data/000/162/090/000162090905"
"'80s Guitar Pop","https://mediafile.galaxie.ca/data/000/162/083/000162083150"
"Hang Loose to the '60s","https://mediafile.galaxie.ca/data/000/162/083/000162083546"
"Hip-Hop With the Top Down","https://mediafile.galaxie.ca/data/000/162/081/000162081953"
"Sweater Weather Indie","https://mediafile.galaxie.ca/data/000/162/083/000162083838"
"Low-Pressure Hip-Hop","https://mediafile.galaxie.ca/data/000/162/083/000162083795"
"The Softer Side of Alt-Rock","https://mediafile.galaxie.ca/data/000/107/940/000107940134"
"R̩veil de lendemain de veille","https://mediafile.galaxie.ca/data/000/162/081/000162081262"
"Electronica Dinner Party","https://mediafile.galaxie.ca/data/000/162/086/000162086990"
"Dinner Party Dance Jams","https://mediafile.galaxie.ca/data/000/162/082/000162082327"
"Acoustic Pop","https://mediafile.galaxie.ca/data/000/107/940/000107940357"